table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 1. Annual Estimates of the Population of Metropolitan and Micropolitan Statistical Areas: April 1, 2000 to July 1, 2007",,,,,,,,,,,,
"CBSA
Code","Metro
Division
Code",Geographic area,Population estimates,,,,,,,,"April 1, 2000",
,,,"July 1,
2007","July 1,
2006","July 1,
2005","July 1,
2004","July 1,
2003","July 1,
2002","July 1,
2001","July 1,
2000",Estimates base,Census
,,Metropolitan statistical areas,,,,,,,,,,
,,(Titles of metropolitan divisions are indented.),,,,,,,,,,
10180,,"Abilene, TX","159,343","158,822","158,850","158,693","158,148","158,172","158,315","160,112","160,241","160,245"
10420,,"Akron, OH","699,356","700,095","700,950","700,844","700,461","699,688","698,320","695,978","694,960","694,960"
10500,,"Albany, GA","164,069","163,150","162,050","161,514","161,213","160,072","159,842","157,759","157,866","157,833"
10580,,"Albany-Schenectady-Troy, NY","853,358","851,195","846,968","844,250","839,752","833,557","829,075","826,740","825,875","825,875"
10740,,"Albuquerque, NM","835,120","817,794","798,558","780,937","766,268","753,834","739,593","731,717","729,653","729,649"
10780,,"Alexandria, LA","149,837","149,707","146,663","146,004","145,304","144,984","144,831","145,090","145,035","145,035"
10900,,"Allentown-Bethlehem-Easton, PA-NJ","803,844","795,300","785,738","775,917","765,863","756,325","748,708","741,905","740,394","740,395"
11020,,"Altoona, PA","125,527","125,643","125,963","126,596","126,887","127,379","128,350","129,036","129,144","129,144"
11100,,"Amarillo, TX","242,240","240,382","238,026","235,329","232,948","230,348","228,378","227,121","226,522","226,522"
11180,,"Ames, IA","84,752","83,804","82,102","82,176","81,649","81,738","80,112","80,135","79,981","79,981"
11260,,"Anchorage, AK","362,340","359,460","351,639","345,929","338,990","332,559","325,728","320,391","319,606","319,605"
11300,,"Anderson, IN","131,312","131,195","130,748","131,322","131,726","132,509","133,044","133,284","133,358","133,358"
11340,,"Anderson, SC","179,981","177,086","174,387","172,718","171,228","169,948","168,724","166,321","165,740","165,740"
11460,,"Ann Arbor, MI","350,003","347,792","345,214","341,743","337,870","334,191","329,506","324,576","322,770","322,895"
11500,,"Anniston-Oxford, AL","113,103","112,704","112,054","111,603","111,366","110,859","111,020","111,353","112,243","112,249"
11540,,"Appleton, WI","218,026","216,207","214,161","212,185","210,236","208,126","205,314","202,524","201,722","201,602"
11700,,"Asheville, NC","404,320","397,801","391,360","386,786","382,103","377,869","373,840","370,429","369,171","369,171"
12020,,"Athens-Clarke County, GA","187,405","183,346","179,301","178,423","174,126","171,139","169,191","166,912","166,079","166,079"
12060,,"Atlanta-Sandy Springs-Marietta, GA","5,278,904","5,127,841","4,957,459","4,811,078","4,679,943","4,559,952","4,434,840","4,282,441","4,248,012","4,247,981"
12100,,"Atlantic City, NJ","270,644","269,924","268,754","266,381","262,046","258,315","254,915","253,015","252,552","252,552"
12220,,"Auburn-Opelika, AL","130,516","128,033","125,272","121,661","119,609","118,196","116,768","115,540","115,124","115,092"
12260,,"Augusta-Richmond County, GA-SC","528,519","522,608","517,611","514,561","509,603","506,513","502,978","500,236","499,653","499,684"
12420,,"Austin-Round Rock, TX","1,598,161","1,532,281","1,469,346","1,423,161","1,385,723","1,355,241","1,325,305","1,265,846","1,249,748","1,249,763"
12540,,"Bakersfield, CA","790,710","772,666","750,665","728,666","708,859","690,456","674,591","663,574","661,655","661,645"
12580,,"Baltimore-Towson, MD","2,668,056","2,663,286","2,650,144","2,638,812","2,622,343","2,595,545","2,578,020","2,557,359","2,552,996","2,552,994"
12620,,"Bangor, ME","148,784","148,082","147,047","146,687","147,152","146,277","145,602","144,910","144,919","144,919"
12700,,"Barnstable Town, MA","222,175","223,492","225,055","226,959","228,198","227,116","225,086","223,233","222,230","222,230"
12940,,"Baton Rouge, LA","770,037","764,488","730,116","725,809","719,233","713,608","709,737","707,214","705,748","705,973"
12980,,"Battle Creek, MI","136,615","137,536","138,204","138,874","138,510","138,333","138,037","138,021","137,985","137,985"
13020,,"Bay City, MI","107,517","108,053","108,608","108,990","109,167","109,611","109,664","110,094","110,157","110,157"
13140,,"Beaumont-Port Arthur, TX","376,241","374,435","380,796","380,742","380,271","381,179","381,776","384,681","385,090","385,090"
13380,,"Bellingham, WA","192,999","188,775","185,556","181,918","177,952","175,076","171,272","167,729","166,826","166,814"
13460,,"Bend, OR","154,028","149,050","141,077","134,162","129,366","125,493","120,664","116,615","115,367","115,367"
13740,,"Billings, MT","149,657","147,819","146,293","144,267","142,729","141,446","140,252","139,093","138,904","138,904"
13780,,"Binghamton, NY","246,426","246,855","247,118","248,588","249,795","251,382","251,463","252,018","252,320","252,320"
13820,,"Birmingham-Hoover, AL","1,108,210","1,100,071","1,088,218","1,080,197","1,072,453","1,064,511","1,060,053","1,053,405","1,051,301","1,052,238"
13900,,"Bismarck, ND","103,242","101,254","99,460","97,802","96,889","96,114","95,178","94,839","94,719","94,719"
13980,,"Blacksburg-Christiansburg-Radford, VA","157,614","156,195","154,700","153,397","153,005","152,700","153,093","151,528","151,324","151,272"
14020,,"Bloomington, IN","183,733","182,563","180,872","180,104","178,888","176,973","176,640","175,829","175,506","175,506"
14060,,"Bloomington-Normal, IL","164,209","162,069","159,814","158,612","157,296","155,689","152,637","150,888","150,433","150,433"
14260,,"Boise City-Nampa, ID","587,689","567,741","544,850","524,380","511,318","499,363","485,676","468,866","464,840","464,840"
14460,,"Boston-Cambridge-Quincy, MA-NH","4,482,857","4,465,674","4,454,814","4,453,867","4,456,462","4,456,292","4,442,981","4,402,652","4,392,340","4,391,344"
14460,14484,".Boston-Quincy, MA","1,858,216","1,851,112","1,846,459","1,844,820","1,845,991","1,845,554","1,837,293","1,816,544","1,812,937","1,812,937"
14460,15764,".Cambridge-Newton-Framingham, MA","1,473,416","1,466,744","1,465,097","1,468,444","1,471,174","1,473,811","1,476,610","1,469,303","1,466,394","1,465,396"
