ST,AL,,AK,,AZ,,AR,,CA,,CO,,CT,,DE,,FL,,GA,,HI,,ID,,IL,,IN,,IA,,KS,,KY,,LA,,ME,,MD,,MA,,MI,,MN,,MS,,MO,,MT,,NE,,NV,,NH,,NJ,,NM,,NY,,NC,,ND,,OH,,OK,,OR,,PA,,RI,,SC,,SD,,TN,,TX,,UT,,VT,,VA,,WA,,WV,,WI,,WY
T20,000000003563,,000000001777,,000000009986,,000000001822,,000000048881, ,000000006097,,000000006385, ,000000000977,,000000036846,,000000001483,,000000000000,,000000001600,,000000011387,,000000010848,,000000010499,,000000002603,,000000005345,,000000000000,,000000004159,R,000000001089,,000000003118,,000000013461,,000000001602,,000000002777,,000000004199,,000000001665,,000000000282,,000000000000, ,000000003266,,000000006909,,000000000302,,000000058173,,000000014371,,000000000280,,000000038706,,000000004843,,000000002836,,000000016183,,000000000149,,000000008629,,000000000315,,000000011524,,000000051375,,000000001842,,000000000375,,000000011157,,000000011099,,000000011560,,000000001641,,000000000000
T21,000000000000,,000000000000,,000000000026,,000000000445,,000000012241, ,000000000831,,000000000040,,000000000450,,000000005048,,000000000087,,000000000000,,000000000359,,000000001229,,000000004896,,000000022053,,000000000215,,000000000284,,000000000000,,000000000704, ,000000000026,,000000000447,,000000000000,,000000001052,,000000005866,,000000000902,,000000004988,,000000000348,,000000095256, ,000000000322,,000000078045,,000000000000,,000000000067,,000000000000,,000000000292,,000000019910,,000000052207,,000000002768,,000000313973,,000000000948,,000000001494,,000000000092,,000000000309,,000000007945,,000000000000,,000000000000,,000000000116,,000000013574,,000000000015,,000000000612,,000000000000
T22,000000098831,,000000001405,,000000021828,,000000022810,,000000064014, ,000000008887,,000000017800, ,000000624210,,000000196157,,000000029908,R,000000001478,,000000002448,,000000201366,,000000007111,,000000035742,,000000056152,,000000076602,,000000315296,,000000007978,R,000000073779,,000000025418,,000000020314,,000000006763,,000000125580,,000000076570,,000000003023,,000000007081,,000000072119, ,000000037382,R,000000320793,,000000002955,,000000071518,,000000399207,,000000000000,,000000648584,R,000000049999,,000000011355,,000000776886,,000000004189,,000000067065,,000000003101,,000000635002,,000003215219,,000000005038,,000000004693,,000000057257,,000000024022,,000000008691,,000000016957,,000000009514
T23,000000016903,,000000032349,,000000030549,,000000020496,,000000090360, ,000000076146,,000000005581,R,000000001049,,000000014750,,000000019737,,000000000440,,000000033889,,000000035516,,000000018466,,000000027076,,000000020877,,000000024911,,000000028312,,000000015769,R,000000013708,,000000005437,,000000049981,,000000059512,,000000014709,,000000030697,,000000047076,,000000015270,,000000009114, ,000000008782,,000000012398,,000000021660,,000000040763,,000000017419,,000000014626,,000000049494,,000000020286,,000000039890,,000000067636,,000000001781,,000000017156,,000000026437,,000000034108,,000000091384,,000000026111,,000000005775,,000000026402,,000000032214,,000000016701,,000000071017,,000000030891
T24,000000204831,,000000054672,,000000213008,,000000131292,,000002621956, ,000000204994,,000000203399, ,000000034783,,000001176282,,000000289931,,000000108314,,000000125306,,000001354997,,000000182932,,000000401265,,000000169653,,000000209881,,000000110997,,000000085691,R,000000459907,,000000300426,,000000909353,,000000512656,,000000124836,,000000253464,,000000150082,,000000091150,,000000170142, ,000000085806,,000000449060,,000000190410,,000000817299,,000000614000,,000000057635,,000000812487,,000000608318,,000000460186,,000000818588,,000000052539,,000000171778,,000000045417,,000000271080,,000001433781,,000000303466,R,000000075831,,000000367848,,000000459158,,000000087715,,000000365968,,000000065043
T25,000000016163,,000000000000,,000000027013,,000000014967,,000000227996, ,000000010427,,000000038026, ,000000002665,,000000172643,,000000063487,,000000000446,,000000006599,,000000070721,,000000228873,,000000006864,,000000019718,,000000017442,,000000011870,,000000011590,R,000000025559,,000000082302,,000000051430,,000000048450,,000000031192,,000000016992,,000000008560,,000000008945,,000000015639, ,000000013225,,000000039049,,000000003929,,000000157241,,000000126775,,000000004008,,000000082478,,000000013650,,000000032002,,000000058400,,000000000565,,000000052183,,000000002478,,000000044811,,000000116929,,000000010465,R,000000005412,,000000045733,,000000061148,,000000003229,R,000000031269,,000000002003
T27,000000012477,,000000000367,,000000000000,,000000007914,,000000876698, ,000000011071,,000000000000, ,000000006987,,000000033519,,000000000011,,000000014580,,000000034068,,000000000000,,000000000000,,000000011543,,000000005237,,000000010110,,000000005797,,000000000000, ,000000000000,,000000017600,,000000021884,,000000000000,,000000007563,,000000020191,,000000000014,,000000000000,,000000000000, ,000000006867,,000000001498,,000000000353,,000000019016,,000000000000,,000000000004,,000000041465,R,000000000029,,000000001991,,000000056405,,000000000000,,000000000000,,000000000000,,000000006799,,000000017481,,000000000000,,000000000000,,000000000000,,000000016869,,000000013956,,000000065255,,000000000000
T28,000000124694,,000000038720,,000000098885,,000000092376,,000003468911, ,000000035221,,000000087471, ,000000240730,,000000239006,,000000073035,,000000026176,,000000056481,,000000700237,,000000039189,,000000091931,,000000025309,,000000110597,,000000095046,,000000097434,R,000000146027,,000000162032,,000000152040,,000000297385,,000000079679,,000000165609,,000000085425,,000000063250,,000000154860,R,000000051161,R,000000587255,,000000024469,,000000149476,,000000162303,,000000050997,,000000608242,,000000085544,R,000000275423,,000000723015,,000000032887,,000000141521,,000000075011,,000000259037,,000000763108,,000000036588,,000000017351,,000000160516,,000000233237,R,000000042282,,000000302866,,000000018851
T29,000000000000,,000000007025,,000000011909,,000000006187,,000000003945, ,000000000743,,000000005271, ,000000094583,,000000001066,,000000008503,,000000001461,,000000003358,,000000005659,,000000004053,,000000008370,,000000002921,,000000004157,,000000003154,,000000008766,R,000000002119,,000000096745,,000000156731,,000000045943,,000000010890,,000000062660,,000000007471,,000000021035,,000000005476, ,000000002851,,000000002103,,000000000363,,000000014377,,000000004338,,000000000000,,000000021058,,000000001062,,000000006486,,000000015919,,000000000954,,000000011254,,000000011000,,000000007467,,000000038574,,000000005111,,000000001971,,000000004563,,000000044006,,000000000221,,000000004951,,000000000014
T40,000003019510,,000000000000,,000003747387,,000002168441,,000053318287, ,000004795423,,000006335078, ,000001025416,,000000000000,,000008799415,,000001560306,,000001406462,,000009408437,,000004615605,,000002666601,,000002744934,,000003041535,,000003214163,,000001469295,R,000006679168,,000011399649,,000006442678,,000007230854,,000001401809,,000004834820,,000000832916,,000001650895,,000000000000, ,000000107452,,000011727192,,000001177918,,000034579992,,000010588951,,000000316894,,000009722928,,000002774851,,000005595831,,000009812726,,000001085600,,000003239468,,000000000000,,000000249145,,000000000000,,000002561001,,000000581189,,000010238776,,000000000000,,000001360511,,000006333633,,000000000000
T41,000000505886,,000000813762,,000000986170,,000000362983,,000011157898, ,000000479445,,000000894317,R,000000302222,,000002442516,,000001017187,,000000100847,,000000188229,,000002936360,,000000987111,,000000325077,,000000527427,,000000988065,,000000752773,,000000183852,,000000782030,,000002106898,,000001786213,,000001183816,,000000369205,,000000390657,,000000178707,,000000213027,,000000000000, ,000000595789,,000002887137,,000000459880,,000005416105,,000001565544,,000000136424,,000001125654,,000000561375,,000000405857,,000002286527,,000000179168,,000000311902,,000000076665,,000001120422,,000000000000,,000000398894,,000000083362,,000000879575,,000000000000,,000000539136,,000000923359,,000000000000
T50,000000000671,,000000000133,,000000000000,,000000000000,,000000006348, ,000000000602,,000000178380, ,000000000893,,000000043397,,000000001403,,000000000162,,000000000177,,000000264395,,000000150290,,000000077750,,000000055620,,000000043578,,000000011134,,000000054820,,000000224322,,000000249597,,000000000712,,000000107599,,000000000145,,000000000000,,000000000755,,000000027366,,000000000759, ,000000000377,,000000604700,,000000000079,,000001053384,,000000177543,,000000000000,,000000071886,R,000000066650,,000000079649,,000000736610,,000000035962,,000000001560,,000000000506,,000000111191,,000000004594,,000000000498,,000000017806,,000000152864,,000000182853,,000000000199,,000000121113,,000000002680
T51,000000056592,,000000000000,,000000000000,,000000042433,,000000000000, ,000000000000,,000000183244, ,000000110935,,000003755306,,000000015325,,000000048324,,000000000000,,000000099635,,000000000000,,000000017355,,000000000000,,000000003469,,000000000000,,000000029488,,000000214347,,000000235681,,000000237483,,000000261562,,000000000000,,000000007945,,000000000000,,000000015234,,000000129725, ,000000141605,,000000587124,,000000000000,,000001278486,,000000074444,,000000000000,,000000000000,R,000000017218,,000000011410,,000000583427,,000000013144,,000000078252,,000000000122,,000000239872,,000000000000,,000000000000,,000000029830,,000000582309,,000001038632,,000000012249,,000000071730,,000000000000
T53,000000144306,,000002436660,,000000043560,,000000021579,,000000031526,R,000000136888,,000000000000, ,000000000000,,000000045870,,000000000000,,000000000000,,000000006649,,000000000354,,000000001003,,000000000000,,000000132281,,000000275313,,000000904164,,000000000000,,000000000000,,000000000000,,000000081874,,000000034591,,000000081814,,000000000058,,000000264740,,000000002499,,000000062178, ,000000000000,,000000000000,,000000942354,,000000000000,,000000001898,,000000391337,,000000007015,,000000942148,,000000012513,,000000000000,,000000000000,,000000000000,,000000004700,,000000001604,,000002762940,,000000101539,,000000000000,,000000002006,,000000048727,,000000328320,,000000004960,,000000803632
T99,000000000000,,000000000000,,000000000000,,000000010309,,000000000000, ,000000000000,,000000000000, ,000000000796,,000000000000,,000000000000,R,000000000000,,000000002151,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000064843,,000000000000,,000000000000,,000000000000,,000000000000,,000000000028,,000000002586,,000000000000,,000000278953,R,000000000010,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000002398,R,000000000000,,000000024352,,000000000094,,000000000000,,000000000000,,000000033681,,000000000000,,000000000000,,000000005912,,000000020947,,000000000000,,000000000000,,000000010109,,000000000000
