GEO.id,GEO.id2,GEO.display-label,T001,T002,T003,T004,T005,T006,T007,T008,T009,T010,T011,T012,T013,T014,T015,T016,T017,T018,T019,T020,T021,T022,T023,T024,T025,T026,T027,T028,T029,T030,T031
0400000US36,36,New York,71545745,X,22869327,11904357,10964970,238932,769,1339033,1604727,22361,942585,1631995,5184568,1926804,59079,40,52469,56286,1418700,132129,20347,186278,1476,43339857,38771968,4567889,3409757,1078516,710877,X,1620364
0400000US37,37,North Carolina,22714557,X,9540442,5573658,3966784,322970,13855,479756,1861838,X,381934,294754,611677,1476017,16026,X,523265,17065,569253,123344,X,216751,10313,11603868,10383796,1220072,94230,58323,34345,1562,0
0400000US38,38,North Dakota,4146149,2398,1594529,1122783,471746,8463,6027,42819,204573,581,40289,28240,140754,187847,325,814,0,13301,105450,5071,6,62880,0,648149,432527,215622,1713226,1,0,1713225,0
0400000US39,39,Ohio,25928118,X,13124136,8277130,4847006,98113,19760,477982,1684209,7122,1051730,843180,664910,3580483,39735,120505,1681619,39096,714980,81026,25436,861301,16785,9146795,9029349,117446,76704,66522,X,10182,0
0400000US40,40,Oklahoma,8823958,X,3708940,2415964,1292976,103831,18946,228915,444636,1388,39353,292973,162934,1032981,920,148684,51032,22082,665123,15066,4,108721,21349,3220385,2774376,446009,861652,135,12570,848947,0
0400000US41,41,Oregon,8728095,15710,1398998,X,1398998,17322,48,100821,533420,1132,94132,255652,396471,934874,3577,2739,19425,46149,509049,29298,16397,301940,6300,6258923,5825797,433126,119590,101816,3655,14119,0
0400000US42,42,Pennsylvania,32949917,38452,17151633,9166842,7984791,324024,1499664,790781,2073677,14820,1336501,1118961,826363,2646493,16304,24206,656221,73710,837990,62348,66778,890117,18819,11939487,10102113,1837374,1173852,804731,342506,X,26615
0400000US44,44,Rhode Island,2868188,2095,1474547,848547,626000,12871,0,93319,80911,1587,101408,132132,203772,129209,63,119,4631,1666,64889,3980,0,47168,6693,1204828,1068466,136362,57509,42112,15397,X,0
0400000US45,45,South Carolina,8062639,8811,4174626,2926177,1248449,153951,38848,144072,531615,0,22045,26247,331671,488588,9086,1953,100686,18176,205110,9270,0,128758,15549,3349738,3096834,252904,40876,3,40873,X,0
0400000US46,46,South Dakota,1521928,X,1197567,838240,359327,15449,9200,67000,136431,634,3676,60372,66565,250572,811,7568,4213,29352,64710,3792,0,124647,15479,59837,X,59837,13952,0,193,13759,0
0400000US47,47,Tennessee,11380078,X,8383189,5933356,2449833,133055,0,639222,837787,0,9318,279017,551434,1391307,1320,166,736743,32592,262243,46494,6967,296144,8638,1297634,182251,1115383,307948,149344,136224,2450,19930
0400000US48,48,Texas,47991110,X,40976120,29002557,11973563,941461,29296,1442640,3178419,7142,768762,1463793,4142050,3207435,68642,19917,105633,102661,1971308,130838,18509,618514,171413,0,X,X,3807555,X,0,3807555,0
0400000US49,49,Utah,5809955,X,2722128,1857035,865093,45823,0,104443,372212,0,25824,123988,192803,255679,1936,0,547,28720,158169,14987,0,47700,3620,2725073,2466495,258578,107075,0,0,107075,0
0400000US50,50,Vermont,2731036,924451,968303,342085,626218,22403,0,59000,108177,0,13267,80230,343141,101161,391,35,2023,6502,64294,7963,0,18103,1850,695029,598450,96579,42092,13335,24298,X,4459
0400000US51,51,Virginia,18144897,34297,5860577,3487343,2373234,198107,81,390950,866243,0,150759,192441,574653,777187,12038,93,57209,27491,431651,60282,0,183905,4518,11054938,10216148,838790,417898,298,313052,1986,102562
0400000US53,53,Washington,17624715,1897095,14171443,10614137,3557306,349164,0,430052,1177987,1734,460025,470765,667579,994819,33912,6116,30083,41826,471016,69745,18862,253245,70014,0,X,X,561358,104592,420464,36302,0
0400000US54,54,West Virginia,5285773,6039,2559586,1277328,1282258,17204,78121,144786,387040,2337,155560,109618,387592,137670,1337,3745,4323,104,3261,104388,395,12994,7123,1948131,1755746,192385,634347,16,8128,626203,0
0400000US55,55,Wisconsin,15995335,155571,7008022,4288739,2719283,56278,260,165758,985001,0,388205,653275,470506,1077742,1707,619,18979,69824,463896,41295,80976,395278,5168,7696502,6762399,934103,57498,323,39843,5013,12319
0400000US56,56,Wyoming,2304628,316734,873840,747804,126036,1742,0,26056,66443,68,4443,25984,1300,140045,0,0,12720,35612,65733,2158,0,23822,0,0,X,X,974009,38,0,968525,5446
